Time	Speed
s*1e-6	m/s
0	0
950	0.02
11013	0.015
20994	0.015
31001	0.015
40975	0.02
50981	0.015
60949	0.02
72015	0.02
80975	0.015
91023	0.015
101628	0.015
111646	0.015
120984	0.015
132176	0.02
141965	0.015
151167	0.02
160989	0.015
170977	0.015
180966	0.02
191021	0.015
200957	0.02
211042	0.02
220965	0.02
231016	0.02
240982	0.015
251132	0.02
261012	0.02
271629	0.015
281005	0.015
291521	0.02
301073	0.02
311209	0.015
321000	0.02
332818	0.02
341021	0.02
351025	0.015
361570	0.015
371656	0.02
381569	0.02
391057	0.015
401087	0.02
413176	0.015
421015	0.015
431021	0.015
440985	0.015
451076	0.015
460982	0.015
471027	0.015
480963	0.015
491010	0.02
500966	0.02
510984	0.02
520955	0.015
531360	0.015
541341	0.02
552645	0.015
560962	0.02
571073	0.015
581069	0.015
591277	0.015
601067	0.02
611099	0.02
620992	0.015
631249	0.02
640988	0.02
651164	0.015
661760	0.015
671450	0.015
681519	0.015
691025	0.015
701583	0.02
711610	0.02
720988	0.02
731050	0.015
740972	0.02
751023	0.015
760955	0.015
771005	0.015
781009	0.02
791020	0.02
801077	0.02
811232	0.02
820982	0.015
831005	0.015
841492	0.015
851088	0.015
860975	0.02
872118	0.015
881920	0.015
891048	0.02
901908	0.02
911566	0.015
921038	0.015
931590	0.02
941420	0.015
951135	0.015
961838	0.015
971458	0.015
980964	0.015
991133	0.015
1000953	0.02
1011059	0.02
1020954	0.015
1031061	0.015
1040985	0.02
1051155	0.015
1075658	0.02
1075772	0.015
1081914	0.02
1091047	0.015
1100955	0.015
1111368	0.015
1120953	0.015
1131271	0.015
1141050	0.015
1151023	0.02
1160941	0.02
1171088	0.02
1180985	0.02
1191028	0.015
1200955	0.015
1210971	0.015
1220995	0.015
1230987	0.015
1240955	0.015
1251027	0.015
1261100	0.02
1270968	0.015
1280924	0.015
1290993	0.02
1300912	0.015
1311015	0.015
1320919	0.02
1330965	0.015
1340960	0.015
1351005	0.015
1360952	0.02
1370970	0.02
1380908	0.015
1390984	0.015
1400919	0.015
1411112	0.015
1420953	0.015
1430973	0.015
1440928	0.015
